날짜,종가,증감,증감율,거래량,기준가격
2022-06-30,16075,-320,-0.019518145776151265,274,16073.23
2022-06-29,16395,-85,-0.0051577669902912624,121,16378.27
2022-06-28,16480,-15,-0.0009093664746892998,44,16699.36
2022-06-27,16495,280,0.017267961763798953,245,16486.03
2022-06-24,16215,225,0.014071294559099437,151,16279.76
2022-06-23,15990,-40,-0.002495321272613849,175,15934.85
2022-06-22,16030,-455,-0.027600849256900213,644,16028.52
2022-06-21,16485,95,0.005796217205613179,155,16477.59
2022-06-20,16390,-200,-0.012055455093429777,876,16382.56
2022-06-17,16590,-70,-0.004201680672268907,821,16581.52
2022-06-16,16660,90,0.005431502715751358,583,16652.61
2022-06-15,16570,-365,-0.02155299675228816,2241,16611.81
2022-06-14,16935,-140,-0.008199121522693998,5187,16925.98
2022-06-13,17075,-520,-0.029553850525717535,2958,17067.55
2022-06-10,17595,-155,-0.008732394366197183,261,17654.45
2022-06-09,17750,-10,-0.0005630630630630631,55,17860.58
2022-06-08,17760,35,0.0019746121297602257,274,17814.26
2022-06-07,17725,-370,-0.020447637468914065,133,17712.86
2022-06-03,18095,105,0.005836575875486381,441,18146.5
2022-06-02,17990,-175,-0.009633911368015413,103,18023.95
