날짜,시가,고가,저가,종가,거래량
2022-06-02,18160,18160,17990,17990,103
2022-06-03,18165,18165,18095,18095,441
2022-06-07,18045,18045,17695,17725,133
2022-06-08,17800,17805,17760,17760,274
2022-06-09,17755,17790,17690,17750,55
2022-06-10,17665,17670,17595,17595,261
2022-06-13,17295,17295,17075,17075,2958
2022-06-14,16800,16935,16690,16935,5187
2022-06-15,16800,16800,16555,16570,2241
2022-06-16,16875,16945,16660,16660,583
2022-06-17,16315,16620,16315,16590,821
2022-06-20,16460,16460,16250,16390,876
2022-06-21,16430,16570,16405,16485,155
2022-06-22,16330,16385,16030,16030,645
2022-06-23,16030,16180,15885,15990,175
2022-06-24,16045,16290,16045,16215,151
2022-06-27,16430,16610,16380,16495,245
2022-06-28,16595,16595,16480,16480,44
2022-06-29,16485,16485,16395,16395,121
2022-06-30,16225,16265,16075,16075,274
