날짜,거래회전율,환율
2020-06-01,0.381022023,0.437333333
2020-06-02,0.410099794,0.453666667
2020-06-03,0.746988988,0.459833333
2020-06-04,0.658981418,0.471833333
2020-06-05,0.460426703,0.471
2020-06-08,0.513764625,0.478166667
2020-06-09,0.457759807,0.493
2020-06-10,0.389280798,0.503833333
2020-06-11,0.596524432,0.509333333
2020-06-12,0.529679972,0.512
2020-06-15,0.547487956,0.489
2020-06-16,0.429456297,0.482
2020-06-17,0.495182381,0.489
2020-06-18,0.291551961,0.475833333
2020-06-19,0.350309704,0.478333333
2020-06-22,0.359858913,0.48
2020-06-23,0.410529938,0.478
2020-06-24,0.41276669,0.483166667
2020-06-25,0.338007571,0.495166667
2020-06-26,0.315898142,0.491333333
2020-06-29,0.288110805,0.502333333
2020-06-30,0.376806607,0.498833333
2020-07-01,0.282002753,0.5025
2020-07-02,0.23821404,0.497333333
2020-07-03,0.16827254,0.498333333
2020-07-06,0.373709566,0.499333333
2020-07-07,0.470233999,0.505333333
2020-07-08,0.327339986,0.511833333
2020-07-09,0.349707502,0.507
2020-07-10,0.270818995,0.509166667
2020-07-13,0.271765313,0.496
2020-07-14,0.253785272,0.4995
2020-07-15,0.464470062,0.489333333
2020-07-16,0.326565726,0.498833333
2020-07-17,0.252150723,0.493166667
2020-07-20,0.271679284,0.4905
2020-07-21,0.413626979,0.493833333
2020-07-22,0.342997247,0.503166667
2020-07-23,0.377408809,0.5105
2020-07-24,0.357794219,0.5025
2020-07-27,0.322608396,0.497833333
2020-07-28,0.565381968,0.505666667
2020-07-29,0.49845148,0.508166667
2020-07-30,0.407518926,0.508
2020-07-31,0.442274604,0.514333333
2020-08-03,0.393582244,0.518166667
2020-08-04,0.418616655,0.5105
2020-08-05,0.514280798,0.510833333
2020-08-06,0.517721955,0.516166667
2020-08-07,0.482536132,0.526166667
2020-08-10,0.594717825,0.5235
2020-08-11,0.597728837,0.522166667
2020-08-12,0.504645561,0.525166667
2020-08-13,0.59119064,0.523333333
2020-08-14,0.457329663,0.527333333
2020-08-18,0.563317275,0.523666667
2020-08-19,0.419907089,0.524833333
2020-08-20,0.576651755,0.5295
2020-08-21,0.480901583,0.522833333
2020-08-24,0.442016518,0.5245
2020-08-25,0.398743978,0.516666667
2020-08-26,0.430660702,0.522833333
2020-08-27,0.406314522,0.521666667
2020-08-28,0.419649002,0.523833333
2020-08-31,0.641345492,0.524833333
2020-09-01,0.394184446,0.527833333
2020-09-02,0.353406745,0.525666667
2020-09-03,0.47401927,0.523
2020-09-04,0.448984859,0.520833333
2020-09-07,0.407174811,0.516333333
2020-09-08,0.493375774,0.521333333
2020-09-09,0.513764625,0.520166667
2020-09-10,0.478492774,0.517333333
2020-09-11,0.310392292,0.5245
2020-09-14,0.374741913,0.5195
2020-09-15,0.352632485,0.526333333
2020-09-16,0.324931177,0.5325
2020-09-17,0.455437027,0.537
2020-09-18,0.348072953,0.541
2020-09-21,0.379645561,0.560666667
2020-09-22,0.413626979,0.565666667
2020-09-23,0.396335169,0.560166667
2020-09-24,0.373193393,0.559333333
2020-09-25,0.233224363,0.5495
2020-09-28,0.163971094,0.549166667
2020-09-29,0.273313833,0.544166667
2020-10-05,0.370698555,0.550833333
2020-10-06,0.28062629,0.561
2020-10-07,0.214039917,0.566666667
2020-10-08,0.411562285,0.5625
2020-10-12,0.302477632,0.573
2020-10-13,0.336631108,0.586166667
2020-10-14,0.343943565,0.584166667
2020-10-15,0.301359257,0.5905
2020-10-16,0.270216793,0.592333333
2020-10-19,0.272109429,0.590666667
2020-10-20,0.396421198,0.596333333
2020-10-21,0.275034412,0.6005
2020-10-22,0.277959394,0.6105
2020-10-23,0.251892636,0.609833333
2020-10-26,0.394872677,0.609
2020-10-27,0.431348933,0.618166667
2020-10-28,0.262388162,0.620666667
2020-10-29,0.376720578,0.617833333
2020-10-30,0.431434962,0.611
2020-11-02,0.289917412,0.616
2020-11-03,0.258000688,0.608833333
2020-11-04,0.39934618,0.609
2020-11-05,0.364418445,0.605833333
2020-11-06,0.301273228,0.615166667
2020-11-09,0.299896765,0.626
2020-11-10,0.445199587,0.640666667
2020-11-11,0.504903648,0.640166667
2020-11-12,0.421541638,0.646
2020-11-13,0.473933242,0.644666667
2020-11-16,0.555918789,0.6415
2020-11-17,0.496214728,0.653333333
2020-11-18,0.376032347,0.655333333
2020-11-19,0.296455609,0.656833333
2020-11-20,0.242773572,0.646333333
2020-11-23,0.432209222,0.643
2020-11-24,0.468083276,0.645666667
2020-11-25,0.613128011,0.648
2020-11-26,0.35925671,0.654666667
2020-11-27,0.269184446,0.657
2020-11-30,0.645905024,0.659333333
2020-12-01,0.410185822,0.6585
2020-12-02,0.478578802,0.654833333
2020-12-03,0.473675155,0.661166667
2020-12-04,0.577253957,0.669833333
2020-12-07,0.515055058,0.689
2020-12-08,0.497505162,0.6955
2020-12-09,0.431520991,0.692666667
2020-12-10,0.630333792,0.694
2020-12-11,0.39384033,0.689666667
2020-12-14,0.400636614,0.6845
2020-12-15,0.453888507,0.682
2020-12-16,0.299036476,0.678
2020-12-17,0.3970234,0.679666667
2020-12-18,0.321317963,0.678666667
2020-12-21,0.366483138,0.670166667
2020-12-22,0.336631108,0.664666667
2020-12-23,0.674294563,0.655666667
2020-12-24,0.53854095,0.651833333
2020-12-28,0.706555403,0.6605
2020-12-29,0.559532003,0.669666667
2020-12-30,0.457673778,0.678
2021-01-04,0.644786648,0.686666667
2021-01-05,0.616225052,0.694833333
2021-01-06,0.722298692,0.689833333
2021-01-07,0.683499656,0.688666667
2021-01-08,0.916121817,0.687166667
2021-01-11,1.0,0.676
2021-01-12,0.768926359,0.670333333
2021-01-13,0.679886442,0.666833333
2021-01-14,0.624827942,0.675
2021-01-15,0.602890571,0.666166667
2021-01-18,0.636355816,0.670166667
2021-01-19,0.653647626,0.659333333
2021-01-20,0.667068135,0.663166667
2021-01-21,0.711545079,0.666666667
2021-01-22,0.608224363,0.668
2021-01-25,0.526066758,0.662833333
2021-01-26,0.582157605,0.661333333
2021-01-27,0.555230557,0.661666667
2021-01-28,0.587749484,0.66
2021-01-29,0.677907777,0.642333333
2021-02-01,0.573726772,0.638
2021-02-02,0.517635926,0.636666667
2021-02-03,0.624139711,0.639
2021-02-04,0.552563661,0.643333333
2021-02-05,0.491311081,0.638833333
2021-02-08,0.543788713,0.626666667
2021-02-09,0.543960771,0.634833333
2021-02-10,0.461028906,0.64
2021-02-15,0.463437715,0.649833333
2021-02-16,0.39151755,0.6615
2021-02-17,0.388764625,0.667166667
2021-02-18,0.398916036,0.653833333
2021-02-19,0.466018582,0.657166667
2021-02-22,0.462319339,0.654833333
2021-02-23,0.434704061,0.655833333
2021-02-24,0.529507915,0.648666667
2021-02-25,0.528217481,0.649666667
2021-02-26,0.664229181,0.652666667
2021-03-02,0.546799725,0.630333333
2021-03-03,0.34987956,0.631166667
2021-03-04,0.438317275,0.6285
2021-03-05,0.454232622,0.623
2021-03-08,0.400206469,0.617666667
2021-03-09,0.531658637,0.6145
2021-03-10,0.398055747,0.598166667
